"Date","Analyst Name","Firm Name","Adjusted Price Target","Adjusted Previous Price Target","Rating Change","Current Rating","Previous Rating"
"2025-04-28","Douglas Harned","Bernstein","218","181","Upgrades","Outperform","Market Perform"
"2025-04-24","Ken Herbert","RBC Capital","200","200","Maintains","Outperform","Outperform"
"2025-04-24","Gavin Parsons","UBS","207","190","Maintains","Buy","Buy"
"2025-04-24","Jason Gursky","Citigroup","220","210","Maintains","Buy","Buy"
"2025-04-24","Kristine Liwag","Morgan Stanley","185","175","Maintains","Equal-Weight","Equal-Weight"
"2025-04-24","Gautam Khanna","TD Securities","180","180","Reiterates","Buy","Buy"
"2025-04-24","Matthew Akers","Wells Fargo","140","111","Maintains","Underweight","Underweight"
"2025-04-21","Josh Sullivan","Benchmark","215","250","Maintains","Buy","Buy"
"2025-04-15","Matthew Akers","Wells Fargo","111","113","Maintains","Underweight","Underweight"
"2025-03-17","Matthew Akers","Wells Fargo","113","103","Maintains","Underweight","Underweight"
"2025-02-10","Jason Gursky","Citigroup","210","207","Maintains","Buy","Buy"
"2025-01-29","Seth Seifman","JP Morgan","200","190","Maintains","Overweight","Overweight"
"2025-01-29","Ken Herbert","RBC Capital","200","200","Maintains","Outperform","Outperform"
"2025-01-29","Charles Minervino","Susquehanna","205","200","Maintains","Positive","Positive"
"2025-01-29","Gavin Parsons","UBS","217","208","Maintains","Buy","Buy"
"2025-01-29","Matthew Akers","Wells Fargo","103","85","Maintains","Underweight","Underweight"
"2025-01-24","Jason Gursky","Citigroup","207","209","Maintains","Buy","Buy"
"2025-01-06","David Strauss","Barclays","210","190","Upgrades","Overweight","Equal-Weight"
"2025-01-02","Scott Deuschle","Deutsche Bank","215","184","Maintains","Buy","Buy"
"2024-12-19","Kristine Liwag","Morgan Stanley","170","195","Maintains","Equal-Weight","Equal-Weight"
"2024-11-25","Seth Seifman","JP Morgan","190","195","Maintains","Overweight","Overweight"
"2024-11-04","Matthew Akers","Wells Fargo","85","86","Maintains","Underweight","Underweight"
"2024-10-30","Ken Herbert","RBC Capital","200","200","Reiterates","Outperform","Outperform"
"2024-10-30","Douglas Harned","Bernstein","169","195","Downgrades","Market Perform","Outperform"
"2024-10-25","Scott Deuschle","Deutsche Bank","184","195","Maintains","Buy","Buy"
"2024-10-24","Ken Herbert","RBC Capital","200","200","Reiterates","Outperform","Outperform"
"2024-10-24","Gavin Parsons","UBS","195","215","Maintains","Buy","Buy"
"2024-10-24","Charles Minervino","Susquehanna","200","210","Maintains","Positive","Positive"
"2024-10-24","Josh Sullivan","Benchmark","250","250","Reiterates","Buy","Buy"
"2024-10-24","Matthew Akers","Wells Fargo","86","109","Maintains","Underweight","Underweight"
"2024-10-24","Peter Arment","Baird","200","240","Maintains","Outperform","Outperform"
"2024-10-18","Kristine Liwag","Morgan Stanley","170","195","Maintains","Equal-Weight","Equal-Weight"
"2024-10-17","Douglas Harned","Bernstein","195","207","Maintains","Outperform","Outperform"
"2024-10-17","Charles Minervino","Susquehanna","210","230","Maintains","Positive","Positive"
"2024-10-15","Jason Gursky","Citigroup","209","224","Maintains","Buy","Buy"
"2024-10-14","Cai Rumohr","TD Cowen","190","200","Maintains","Buy","Buy"
"2024-10-14","Seth Seifman","JP Morgan","195","235","Maintains","Overweight","Overweight"
"2024-10-14","Matthew Akers","Wells Fargo","109","110","Maintains","Underweight","Underweight"
"2024-10-03","Scott Deuschle","Deutsche Bank","195","225","Maintains","Buy","Buy"
"2024-10-01","Matthew Akers","Wells Fargo","110","119","Maintains","Underweight","Underweight"
"2024-10-01","Cai Rumohr","TD Cowen","200","230","Maintains","Buy","Buy"
"2024-09-24","Noah Poponak","Goldman Sachs","202","232","Maintains","Buy","Buy"
"2024-09-23","Sheila Kahyaoglu","Jefferies","240","270","Maintains","Buy","Buy"
"2024-09-03","Matthew Akers","Wells Fargo","119","185","Downgrades","Underweight","Equal-Weight"
"2024-08-14","Charles Minervino","Susquehanna","230","230","Maintains","Positive","Positive"
"2024-08-05","Douglas Harned","Bernstein","207","222","Maintains","Outperform","Outperform"
"2024-08-02","Matthew Akers","Wells Fargo","185","190","Maintains","Equal-Weight","Equal-Weight"
"2024-08-01","Seth Seifman","JP Morgan","235","210","Maintains","Overweight","Overweight"
"2024-08-01","Ken Herbert","RBC Capital","220","210","Maintains","Outperform","Outperform"
"2024-08-01","Bert Subin","Stifel","235","230","Maintains","Buy","Buy"
"2024-08-01","Charles Minervino","Susquehanna","230","220","Maintains","Positive","Positive"
"2024-06-25","Scott Deuschle","Deutsche Bank","225","225","Maintains","Buy","Buy"
"2024-06-18","Ronald Epstein","B of A Securities","200","200","Maintains","Neutral","Neutral"
"2024-06-13","Ronald Epstein","B of A Securities","200","180","Maintains","Neutral","Neutral"
"2024-06-07","Gavin Parsons","UBS","240","250","Maintains","Buy","Buy"
"2024-06-03","Douglas Harned","Bernstein","215","230","Maintains","Outperform","Outperform"
"2024-06-03","Peter Arment","Baird","240","300","Maintains","Outperform","Outperform"
"2024-05-15","Bert Subin","Stifel","240","240","Maintains","Buy","Buy"
"2024-05-15","Charles Minervino","Susquehanna","230","230","Maintains","Positive","Positive"
"2024-04-30","John Eade","Argus Research","","","Downgrades","Hold","Buy"
"2024-04-25","Jason Gursky","Citigroup","224","252","Maintains","Buy","Buy"
"2024-04-25","Scott Deuschle","Deutsche Bank","225","240","Maintains","Buy","Buy"
"2024-04-22","David Strauss","Barclays","190","235","Maintains","Equal-Weight","Equal-Weight"
"2024-04-17","Chris Olin","Northcoast Research","140","","Downgrades","Sell","Neutral"
"2024-04-16","Ken Herbert","RBC Capital","215","225","Maintains","Outperform","Outperform"
"2024-04-12","Seth Seifman","JP Morgan","210","230","Maintains","Overweight","Overweight"
"2024-04-11","Ronald Epstein","B of A Securities","190","210","Maintains","Neutral","Neutral"
"2024-04-10","Bert Subin","Stifel","260","270","Maintains","Buy","Buy"
"2024-04-10","Kristine Liwag","Morgan Stanley","180","235","Maintains","Equal-Weight","Equal-Weight"
"2024-04-08","Douglas Harned","Bernstein","240","272","Maintains","Outperform","Outperform"
"2024-04-01","Rob Wertheimer","Melius Research","","","Downgrades","Hold","Buy"
"2024-03-28","Jason Gursky","Citigroup","252","263","Maintains","Buy","Buy"
"2024-03-26","Josh Sullivan","Benchmark","250","250","Reiterates","Buy","Buy"
"2024-03-26","Kristine Liwag","Morgan Stanley","235","235","Maintains","Equal-Weight","Equal-Weight"
"2024-03-25","Noah Poponak","Goldman Sachs","257","268","Maintains","Buy","Buy"
"2024-03-25","Bert Subin","Stifel","270","270","Maintains","Buy","Buy"
"2024-03-25","Kristine Liwag","Morgan Stanley","235","235","Maintains","Equal-Weight","Equal-Weight"
"2024-03-25","Seth Seifman","JP Morgan","230","270","Maintains","Overweight","Overweight"
"2024-03-25","Cai Rumohr","TD Cowen","230","275","Maintains","Outperform","Outperform"
"2024-03-21","Ronald Epstein","B of A Securities","210","225","Maintains","Neutral","Neutral"
"2024-03-21","Gavin Parsons","UBS","250","275","Maintains","Buy","Buy"
"2024-03-21","Charles Minervino","Susquehanna","230","265","Maintains","Positive","Positive"
"2024-03-13","Myles Walton","Wolfe Research","260","270","Maintains","Outperform","Outperform"
"2024-03-12","Bert Subin","Stifel","270","280","Maintains","Buy","Buy"
"2024-02-23","Chris Olin","Northcoast Research","","","Downgrades","Neutral","Buy"
"2024-02-14","Sheila Kahyaoglu","Jefferies","220","210","Maintains","Buy","Buy"
"2024-02-01","Ken Herbert","RBC Capital","260","285","Maintains","Outperform","Outperform"
"2024-02-01","Matthew Akers","Wells Fargo","215","225","Maintains","Equal-Weight","Equal-Weight"
"2024-01-25","Ronald Epstein","B of A Securities","225","255","Downgrades","Neutral","Buy"
"2024-01-18","Charles Minervino","Susquehanna","279","306","Maintains","Positive","Positive"
