"Date","Analyst Name","Firm Name","Adjusted Price Target","Adjusted Previous Price Target","Rating Change","Current Rating","Previous Rating"
"2025-04-24","Alberto Valerio","UBS","39","35","Maintains","Sell","Sell"
"2025-03-24","Myles Walton","Wolfe Research","","","Downgrades","Peer Perform","Outperform"
"2025-03-03","Noah Poponak","Goldman Sachs","50","44","Maintains","Buy","Buy"
"2024-11-21","Ronald Epstein","B of A Securities","55","40","Maintains","Buy","Buy"
"2024-11-19","Alberto Valerio","UBS","32","29","Downgrades","Sell","Neutral"
"2024-09-17","Ronald Epstein","B of A Securities","40","40","Maintains","Buy","Buy"
"2024-09-04","Cai von Rumohr","TD Cowen","41","26","Upgrades","Buy","Hold"
"2024-08-22","Ronald Epstein","B of A Securities","40","28","Maintains","Buy","Buy"
"2024-07-03","Alberto Valerio","UBS","29","28.50","Maintains","Neutral","Neutral"
"2024-03-26","Alberto Valerio","UBS","28.5","21","Downgrades","Neutral","Buy"
"2024-03-22","Marcelo Motta","JP Morgan","40","21","Maintains","Overweight","Overweight"
"2024-03-22","Noah Poponak","Goldman Sachs","35","21","Maintains","Buy","Buy"
"2024-03-14","Josh Milberg","Morgan Stanley","40","19.50","Maintains","Overweight","Overweight"
"2024-02-06","Cenk Orcan","HSBC","19","18","Downgrades","Hold","Buy"
"2023-10-16","Stephen Trent","Citigroup","16","","Upgrades","Buy","Neutral"
"2023-06-13","Stephen Trent","Citigroup","16.5","15.75","Maintains","Neutral","Neutral"
"2023-04-11","Noah Poponak","Goldman Sachs","20","18","Maintains","Buy",""
"2023-03-29","Ronald Epstein","B of A Securities","24","27","Maintains","Buy",""
"2023-03-23","Stephen Trent","Citigroup","17","11.75","Maintains","Neutral",""
"2023-03-13","Noah Poponak","Goldman Sachs","18","16","Maintains","Buy",""
"2023-01-09","Alberto Valerio","UBS","14","","Initiates Coverage On","Buy",""
"2022-12-06","Marcelo Motta","JP Morgan","26.5","26","Maintains","Overweight",""
"2022-11-09","Stephen Trent","Citigroup","11.75","13","Maintains","Neutral",""
"2022-10-12","Noah Poponak","Goldman Sachs","16","18","Maintains","Buy",""
"2022-10-11","Myles Walton","Wolfe Research","14","","Initiates Coverage On","Outperform",""
"2022-04-26","Stephen Trent","Citigroup","13","14.50","Maintains","Neutral",""
"2021-11-11","Myles Walton","UBS","","","Upgrades","Buy","Neutral"
"2021-09-23","Noah Poponak","Goldman Sachs","23","","Upgrades","Buy","Neutral"
"2021-06-11","Ronald Epstein","B of A Securities","20","8","Upgrades","Buy","Neutral"
"2021-04-30","Robert Spingarn","Credit Suisse","7.1","5.90","Maintains","Underperform",""
"2020-11-11","Robert Spingarn","Credit Suisse","4.8","4.60","Maintains","Underperform",""
"2020-10-22","Robert Spingarn","Credit Suisse","4.6","4.40","Maintains","Underperform",""
"2020-08-06","Robert Spingarn","Credit Suisse","4.4","4.70","Maintains","Underperform",""
"2020-04-28","Robert Spingarn","Credit Suisse","4","11","Downgrades","Underperform","Neutral"
"2020-04-17","Myles Walton","UBS","9","21","Maintains","Neutral",""
"2020-04-03","Robert Spingarn","Credit Suisse","11","19","Maintains","Neutral",""
"2020-01-15","Myles Walton","UBS","21","","Downgrades","Neutral","Buy"
"2019-11-14","Myles Walton","UBS","21","23","Maintains","Buy",""
"2019-09-12","Myles Walton","UBS","","","Upgrades","Buy","Neutral"
"2019-01-22","Robert Spingarn","Credit Suisse","","","Downgrades","Neutral","Outperform"
"2019-01-17","","Morgan Stanley","23.5","24.50","Downgrades","Equal-Weight","Overweight"
"2018-12-18","Robert Spingarn","Credit Suisse","28","27","Maintains","Outperform","Outperform"
"2018-09-26","","Bradesco Corretora","28","23","Upgrades","Outperform","Neutral"
"2018-08-16","Myles Walton","UBS","20","","Initiates Coverage On","Neutral",""
