"Date","Analyst Name","Firm Name","Adjusted Price Target","Adjusted Previous Price Target","Rating Change","Current Rating","Previous Rating"
"2025-04-23","Gavin Parsons","UBS","499","481","Maintains","Neutral","Neutral"
"2025-04-23","Peter Arment","Baird","540","540","Upgrades","Outperform","Neutral"
"2025-04-08","Matthew Akers","Wells Fargo","432","476","Maintains","Equal-Weight","Equal-Weight"
"2025-03-27","Ken Herbert","RBC Capital","480","550","Downgrades","Sector Perform","Outperform"
"2025-03-24","Ronald Epstein","B of A Securities","485","685","Downgrades","Neutral","Buy"
"2025-03-07","Matthew Akers","Wells Fargo","476","468","Maintains","Equal-Weight","Equal-Weight"
"2025-02-26","Matthew Akers","Wells Fargo","468","497","Maintains","Equal-Weight","Equal-Weight"
"2025-01-30","Matthew Akers","Wells Fargo","497","500","Maintains","Equal-Weight","Equal-Weight"
"2025-01-30","Seth Seifman","JP Morgan","535","540","Maintains","Overweight","Overweight"
"2025-01-29","Kristine Liwag","Morgan Stanley","525","555","Maintains","Equal-Weight","Equal-Weight"
"2025-01-29","Ken Herbert","RBC Capital","550","570","Maintains","Outperform","Outperform"
"2025-01-29","Charles Minervino","Susquehanna","550","590","Maintains","Positive","Positive"
"2025-01-29","Gavin Parsons","UBS","508","527","Maintains","Neutral","Neutral"
"2025-01-21","Jason Gursky","Citigroup","600","700","Maintains","Buy","Buy"
"2025-01-16","Seth Seifman","JP Morgan","540","546","Maintains","Overweight","Overweight"
"2025-01-14","Michael Ciarmoli","Truist Securities","579","","Initiates Coverage On","Buy",""
"2025-01-08","Matthew Akers","Wells Fargo","500","543","Maintains","Equal-Weight","Equal-Weight"
"2025-01-08","Charles Minervino","Susquehanna","590","695","Maintains","Positive","Positive"
"2025-01-06","David Strauss","Barclays","515","565","Maintains","Equal-Weight","Equal-Weight"
"2025-01-02","Scott Deuschle","Deutsche Bank","523","611","Downgrades","Hold","Buy"
"2024-12-11","Matthew Akers","Wells Fargo","543","602","Maintains","Equal-Weight","Equal-Weight"
"2024-10-29","David Strauss","Barclays","565","505","Maintains","Equal-Weight","Equal-Weight"
"2024-10-23","Ken Herbert","RBC Capital","665","675","Maintains","Outperform","Outperform"
"2024-10-23","Cai von Rumohr","TD Cowen","610","560","Maintains","Buy","Buy"
"2024-10-23","Gavin Parsons","UBS","603","589","Maintains","Neutral","Neutral"
"2024-10-23","Charles Minervino","Susquehanna","695","705","Maintains","Positive","Positive"
"2024-10-17","Charles Minervino","Susquehanna","705","565","Maintains","Positive","Positive"
"2024-10-14","Seth Seifman","JP Morgan","630","560","Maintains","Overweight","Overweight"
"2024-10-10","Jason Gursky","Citigroup","700","570","Maintains","Buy","Buy"
"2024-10-07","Ken Herbert","RBC Capital","675","600","Maintains","Outperform","Outperform"
"2024-10-03","Scott Deuschle","Deutsche Bank","620","600","Maintains","Buy","Buy"
"2024-08-30","Ronald Epstein","B of A Securities","635","635","Maintains","Buy","Buy"
"2024-08-09","Kristine Liwag","Morgan Stanley","599","503","Maintains","Equal-Weight","Equal-Weight"
"2024-08-05","Ken Herbert","RBC Capital","600","500","Upgrades","Outperform","Sector Perform"
"2024-07-31","Ronald Epstein","B of A Securities","635","465","Upgrades","Buy","Neutral"
"2024-07-30","David Strauss","Barclays","505","480","Maintains","Equal-Weight","Equal-Weight"
"2024-07-26","Scott Deuschle","Deutsche Bank","600","540","Upgrades","Buy","Hold"
"2024-07-25","Seth Seifman","JP Morgan","560","518","Maintains","Overweight","Overweight"
"2024-07-24","Scott Deuschle","Deutsche Bank","540","487","Maintains","Hold","Hold"
"2024-07-24","Ken Herbert","RBC Capital","500","470","Maintains","Sector Perform","Sector Perform"
"2024-07-24","Matthew Akers","Wells Fargo","525","483","Maintains","Equal-Weight","Equal-Weight"
"2024-07-24","Gavin Parsons","UBS","538","511","Maintains","Neutral","Neutral"
"2024-07-24","Charles Minervino","Susquehanna","565","540","Maintains","Positive","Positive"
"2024-07-24","Cai von Rumohr","TD Cowen","560","480","Upgrades","Buy","Hold"
"2024-04-25","Matthew Akers","Wells Fargo","480","460","Maintains","Equal-Weight","Equal-Weight"
"2024-04-25","Scott Deuschle","Deutsche Bank","487","467","Maintains","Hold","Hold"
"2024-04-24","Jason Gursky","Citigroup","525","508","Maintains","Buy","Buy"
"2024-04-24","Gavin Parsons","UBS","499","482","Maintains","Neutral","Neutral"
"2024-04-15","Seth Seifman","JP Morgan","518","475","Upgrades","Overweight","Neutral"
"2024-01-24","Kristine Liwag","Morgan Stanley","503","513","Maintains","Equal-Weight","Equal-Weight"
"2024-01-24","Charles Minervino","Susquehanna","540","550","Maintains","Positive","Positive"
"2024-01-24","Jason Gursky","Citigroup","508","540","Maintains","Buy","Buy"
"2024-01-24","Ken Herbert","RBC Capital","470","475","Maintains","Sector Perform","Sector Perform"
"2024-01-24","Gavin Parsons","UBS","475","488","Maintains","Neutral","Neutral"
"2023-10-18","Kristine Liwag","Morgan Stanley","510","532","Maintains","Equal-Weight","Equal-Weight"
"2023-10-18","Seth Seifman","JP Morgan","481","495","Maintains","Neutral","Neutral"
"2023-10-18","Jason Gursky","Citigroup","540","555","Maintains","Buy","Buy"
"2023-10-11","Gavin Parsons","UBS","470","","Initiates Coverage On","Neutral",""
"2023-09-28","Scott Deuschle","Deutsche Bank","435","","Initiates Coverage On","Hold",""
"2023-09-18","Sarah Akers","Wells Fargo","440","","Upgrades","Equal-Weight","Underweight"
"2023-07-19","Kristine Liwag","Morgan Stanley","532","532","Reiterates","Equal-Weight","Equal-Weight"
"2023-07-19","Charles Minervino","Susquehanna","550","575","Maintains","Positive","Positive"
"2023-07-19","Ken Herbert","RBC Capital","475","500","Maintains","Sector Perform","Sector Perform"
"2023-07-19","Sarah Akers","Wells Fargo","440","433","Maintains","Underweight","Underweight"
"2023-07-19","Jason Gursky","Citigroup","555","579","Maintains","Buy","Buy"
"2023-04-20","Douglas Harned","Bernstein","496","478","Maintains","Market Perform",""
"2023-04-19","Seth Seifman","JP Morgan","500","480","Maintains","Neutral",""
"2023-04-19","Sarah Akers","Wells Fargo","419","422","Maintains","Underweight",""
"2023-04-19","Scott Deuschle","Credit Suisse","550","510","Maintains","Outperform",""
"2023-04-19","Jason Gursky","Citigroup","579","546","Maintains","Buy",""
"2023-04-12","Peter Arment","Baird","513","","Downgrades","Neutral","Outperform"
"2023-02-07","Scott Deuschle","Credit Suisse","510","427","Upgrades","Outperform","Underperform"
"2023-01-30","Robert Czerwensky","DZ Bank","523","","Upgrades","Buy","Hold"
"2023-01-25","Charles Minervino","Susquehanna","512","510","Maintains","Positive",""
"2023-01-25","Kristine Liwag","Morgan Stanley","532","542","Maintains","Equal-Weight",""
"2023-01-25","Matthew Akers","Wells Fargo","422","417","Maintains","Underweight",""
"2023-01-25","Scott Deuschle","Credit Suisse","408","384","Maintains","Underperform",""
"2023-01-13","Noah Poponak","Goldman Sachs","332","388","Downgrades","Sell","Neutral"
"2022-12-15","Kristine Liwag","Morgan Stanley","542","506","Downgrades","Equal-Weight","Overweight"
"2022-12-12","Seth Seifman","JP Morgan","505","450","Maintains","Neutral",""
"2022-10-19","Matthew Akers","Wells Fargo","417","415","Maintains","Underweight",""
"2022-10-19","Kristine Liwag","Morgan Stanley","506","522","Maintains","Overweight",""
"2022-10-19","Ken Herbert","RBC Capital","445","420","Maintains","Sector Perform",""
"2022-10-19","Charles Minervino","Susquehanna","510","539","Maintains","Positive",""
"2022-10-19","Scott Deuschle","Credit Suisse","384","375","Maintains","Underperform",""
"2022-10-19","Peter Arment","Baird","513","","Upgrades","Outperform","Neutral"
"2022-10-12","Scott Deuschle","Credit Suisse","375","","Initiates Coverage On","Underperform",""
"2022-10-11","Myles Walton","Wolfe Research","","","Initiates Coverage On","Peer Perform",""
"2022-10-06","Sheila Kahyaoglu","Jefferies","450","470","Maintains","Hold",""
"2022-09-28","Matthew Akers","Wells Fargo","415","406","Downgrades","Underweight","Equal-Weight"
"2022-08-30","Ben Herbert","RBC Capital","460","","Initiates Coverage On","Sector Perform",""
